ID,Titulo,Universidad,Tipo,Presencial,Precio,Tiempo,Descripcion,Enlaces
384539,Global Master of Business Administration (UNINETTUNO),Berlin School of Business and Innovation,Full-time,On Campus,9000,1½ year,Global Master of Business Administration (UNINETTUNO),https://www.mastersportal.com/studies/384539/global-master-of-business-administration.html
351211,International Business Management and Innovation (Online),BEBS (Barcelona Executive Business School),Part-time,Online,5580,1 year,International Business Management and Innovation (Online),https://www.mastersportal.com/studies/351211/international-business-management-and-innovation.html
154768,Master of Business Administration in Innovation and Change Management,EAE Business School,Full-time,On Campus,30000,1 year,Master of Business Administration in Innovation and Change Management,https://www.mastersportal.com/studies/154768/master-of-business-administration-in-innovation-and-change-management.html
288796,Digital Marketing,Harbour.Space University,Full-time,On Campus,14950,1 year,Digital Marketing,https://www.mastersportal.com/studies/288796/digital-marketing.html
243505,Digital Master in Business Administration,ISDI - Digital Business School,Full-time,On Campus,26950,10 months,Digital Master in Business Administration,https://www.mastersportal.com/studies/243505/digital-master-in-business-administration.html
288797,High-tech Entrepreneurship,Harbour.Space University,Full-time,On Campus,14950,1 year,High-tech Entrepreneurship,https://www.mastersportal.com/studies/288797/high-tech-entrepreneurship.html
351227,International Project Management (Online),BEBS (Barcelona Executive Business School),Part-time,Online,5580,1 year,International Project Management (Online),https://www.mastersportal.com/studies/351227/international-project-management.html
250382,International Project Management,BEBS (Barcelona Executive Business School),Full-time,On Campus,6840,10 months,International Project Management,https://www.mastersportal.com/studies/250382/international-project-management.html
351224,International Tourism and Hospitality Management (Online),BEBS (Barcelona Executive Business School),Part-time,Online,5400,1 year,International Tourism and Hospitality Management (Online),https://www.mastersportal.com/studies/351224/international-tourism-and-hospitality-management.html
306440,International Master of Business Administration Barcelona-Berkeley,EAE Business School,Full-time,On Campus,34900,1 year,International Master of Business Administration Barcelona-Berkeley,https://www.mastersportal.com/studies/306440/international-master-of-business-administration-barcelona-berkeley.html
154069,International Management,ESCP Business School,Full-time,On Campus,46350,10 months,International Management,https://www.mastersportal.com/studies/154069/international-management.html
291696,Online Master of Business Administration,Swiss School Of Business and Management,Full-time,On Campus,7000,1 year,Online Master of Business Administration,https://www.mastersportal.com/studies/291696/online-master-of-business-administration.html
295853,Global and International Management,Swiss School Of Business and Management,Part-time,Online,7000,1 year,Global and International Management,https://www.mastersportal.com/studies/295853/global-and-international-management.html
306692,International Business - Online,EU Business School,Part-time,Online,14250,1 year,International Business - Online,https://www.mastersportal.com/studies/306692/international-business-online.html
17244,International Marketing,EU Business School,"Full-time, Part-time",On Campus,20850,1 year,International Marketing,https://www.mastersportal.com/studies/17244/international-marketing.html
306708,Blockchain Management - Online,EU Business School,Part-time,Online,17400,1 year,Blockchain Management - Online,https://www.mastersportal.com/studies/306708/blockchain-management-online.html
306694,Communication and Public Relations - Online,EU Business School,Part-time,Online,17400,1 year,Communication and Public Relations - Online,https://www.mastersportal.com/studies/306694/communication-and-public-relations-online.html
262721,Blockchain Management,EU Business School,"Full-time, Part-time",On Campus,20850,1 year,Blockchain Management,https://www.mastersportal.com/studies/262721/blockchain-management.html
17246,Leisure and Tourism Management,EU Business School,"Full-time, Part-time",On Campus,20850,1 year,Leisure and Tourism Management,https://www.mastersportal.com/studies/17246/leisure-and-tourism-management.html
306705,Human Resources Management - Online,EU Business School,Part-time,Online,17400,1 year,Human Resources Management - Online,https://www.mastersportal.com/studies/306705/human-resources-management-online.html
